EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;G;2;20;203;203000;Arrend. Maq,inst,utillaje;Arrendamientos maquinaria, instalación y utillaje
2021;G;2;20;204;;Arrend. Material transp.;Arrendamientos de material de transporte
2021;G;2;20;204;204000;Arrend. Material transp.;Arrendamientos de material de transporte
2021;G;2;20;205;;Arrend. Mobil.,enseres;Arrendamientos de mobiliario y enseres
2021;G;2;20;205;205000;Arrend. Mobil.,enseres;Arrendamientos de mobiliario y enseres
2021;G;2;20;206;;Arrend. Equip proc inform;Arrendamientos de equipos procesos de información
2021;G;2;20;206;206000;Arrend. Equip proc inform;Arrendamientos de equipos procesos de información
2021;G;2;20;209;;Arrend. otro inmov. mat.;Arrendamientos de otro inmovilizado material
2021;G;2;20;209;209000;Arrend. otro inmov. mat.;Arrendamientos de otro inmovilizado material
2021;G;2;21;;;Reparación y conservación;Reparación y conservación
2021;G;2;21;210;;Rep.Const.Terr y B.natur.;Rep. y conservación de terrenos y bienes naturales
2021;G;2;21;210;210000;Rep.Const.Terr y B.natur.;Rep. y conservación de terrenos y bienes naturales
2021;G;2;21;212;;Rep.Const. Edif. y constr;Rep. y conservación edificios y otras construcc.
2021;G;2;21;212;212000;Rep.Const. Edif. y constr;Rep. y conservación edificios y otras construcc.
2021;G;2;21;213;;Rep.Const. Maq,inst,utill;Rep. y conserv. maquinaria,instalaciones,utillaje
2021;G;2;21;213;213000;Rep.Const. Maq,inst,utill;Rep. y conserv. maquinaria,instalaciones,utillaje
2021;G;2;21;214;;Rep.Const. Mat. transport;Reparación y conservación material de transporte
2021;G;2;21;214;214000;Rep.Const. Mat. transport;Reparación y conservación material de transporte
2021;G;2;21;215;;Rep.Const. Mobil.,enseres;Reparación y conservación de mobiliario y enseres
2021;G;2;21;215;215000;Rep.Const. Mobil.,enseres;Reparación y conservación de mobiliario y enseres
2021;G;2;21;216;;Rep.Const. Equip informac;Rep. y conserv. equipos procesos de información
2021;G;2;21;216;216000;Rep.Const. Equip informac;Rep. y conserv. equipos procesos de información
2021;G;2;21;219;;Rep.Const. otr inm. mat.;Rep. y conservación de otro inmovilizado material
2021;G;2;21;219;219000;Rep.Const. otr inm. mat.;Rep. y conservación de otro inmovilizado material
2021;G;2;22;;;Material, suminis.y otros;Material, suministros y otros
2021;G;2;22;220;;Material de oficina;Material de oficina
2021;G;2;22;220;220000;Ordinar. no inventariable;Ordinario no inventariable
2021;G;2;22;220;220001;Mobiliario y enseres;Mobiliario y enseres
2021;G;2;22;220;220002;Prensa,revistas,publ.per.;Prensa, revistas y publicaciones periódicas
2021;G;2;22;220;220003;Libros y otras public.;Libros y otras publicaciones
2021;G;2;22;220;220004;Material informático;Material informático
2021;G;2;22;220;220005;Adquisición Cartones Bing;Adquisición Cartones de Bingo
2021;G;2;22;220;220009;Otro material de oficina;Otro material de oficina
2021;G;2;22;221;;Suministros;Suministros
2021;G;2;22;221;221000;Energía eléctrica;Energía eléctrica
2021;G;2;22;221;221001;Agua;Agua
2021;G;2;22;221;221002;Gas;Gas
2021;G;2;22;221;221003;Combustibles;Combustibles
2021;G;2;22;221;221004;Vestuario;Vestuario
2021;G;2;22;221;221005;Productos alimenticios;Productos alimenticios
2021;G;2;22;221;221006;Productos farmacéuticos;Productos farmacéuticos
2021;G;2;22;221;221007;Antivirales Hepatitis C;Antivirales Hepatitis C
2021;G;2;22;221;221009;Otros suministros;Otros suministros
2021;G;2;22;221;221011;Implantes;Implantes
2021;G;2;22;221;221012;Material de laboratorio;Material de laboratorio
2021;G;2;22;221;221013;Material de radiología;Material de radiología
2021;G;2;22;221;221014;Instrum,utillaje sanitar.;Instrumental y pequeño utillaje sanitario
2021;G;2;22;221;221015;Material reactivo;Material reactivo
2021;G;2;22;221;221019;Otro material sanitario;Otro material sanitario
2021;G;2;22;222;;Comunicaciones;Comunicaciones
2021;G;2;22;222;222000;Telefónicas;Telefónicas
2021;G;2;22;222;222001;Postales;Postales
2021;G;2;22;222;222002;Telegráficas;Telegráficas
2021;G;2;22;222;222003;Télex y telefax;Télex y telefax
2021;G;2;22;222;222009;Otras comunicaciones;Otras comunicaciones
2021;G;2;22;223;;Transporte;Transporte
2021;G;2;22;223;223000;Transporte;Transporte
2021;G;2;22;224;;Primas de seguros;Primas de seguros
2021;G;2;22;224;224000;Primas edificios, locales;Primas de Edificios y locales
2021;G;2;22;224;224001;Primas de vehículos;Primas de vehículos
2021;G;2;22;224;224002;Primas de otro inmoviliz.;Primas de otro inmovilizado
2021;G;2;22;224;224003;Otros riesgos;Otros riesgos
2021;G;2;22;225;;Tributos;Tributos
2021;G;2;22;225;225000;Tributos locales;Tributos locales
2021;G;2;22;225;225001;Tributos autonómicos;Tributos autonómicos
2021;G;2;22;225;225002;Tributos estatales;Tributos estatales
2021;G;2;22;225;225003;Impuesto sobre bienes inmuebles;Impuesto sobre bienes inmuebles
2021;G;2;22;225;225004;Impuesto de vehículos de tracción mecánica;Impuesto de vehículos de tracción mecánica
2021;G;2;22;226;;Gastos diversos;Gastos diversos
2021;G;2;22;226;226000;Cánones;Cánones
2021;G;2;22;226;226001;Atenc.Protoc. y represent;Atenciones protocolarias y representativas
2021;G;2;22;226;226002;Gtos divulg. y promoción;Gastos de divulgación y promoción
2021;G;2;22;226;226003;Jurídicos, Contenciosos;Jurídicos, Contenciosos
2021;G;2;22;226;226004;Remun.agentes med. indep.;Remuneraciones a agentes mediadores independientes
2021;G;2;22;226;226005;Reuniones y conferencias;Reuniones y conferencias
2021;G;2;22;226;226006;Gtos func. trib jurado;Gastos de funcionamiento de Tribunal con Jurado
2021;G;2;22;226;226007;Indemniz. a testigos;Indemnizaciones a testigos
