# Comarcas obtenidas a partir de - por ejemplo - http://opendata.aragon.es/dataset/cifras-poblacion-revision-padron-municipal-2006-comarcas
# Municipios obtenidos del INE: http://www.ine.es/daco/daco42/codmun/codmunmapa.htm
CA1,comunidad,Aragón
44239,municipio,Valacloche
44240,municipio,Valbona
44241,municipio,Valdealgorfa
44243,municipio,Valdecuenca
44244,municipio,Valdelinares
44245,municipio,Valdeltormo
44246,municipio,Valderrobres
44247,municipio,Valjunquera
44249,municipio,El Vallecillo
44250,municipio,Veguillas de la Sierra
44251,municipio,Villafranca del Campo
44252,municipio,Villahermosa del Campo
44256,municipio,Villanueva del Rebollar de la Sierra
44257,municipio,Villar del Cobo
44258,municipio,Villar del Salz
44260,municipio,Villarluengo
44261,municipio,Villarquemado
44262,municipio,Villarroya de los Pinares
44263,municipio,Villastar
44264,municipio,Villel
44265,municipio,Vinaceite
44266,municipio,Visiedo
44267,municipio,Vivel del Río Martín
44268,municipio,La Zoma
50001,municipio,Abanto
50002,municipio,Acered
50003,municipio,Agón
50004,municipio,Aguarón
50005,municipio,Aguilón
50006,municipio,Ainzón
50007,municipio,Aladrén
50008,municipio,Alagón
50009,municipio,Alarba
50010,municipio,Alberite de San Juan
50011,municipio,Albeta
50012,municipio,Alborge
50013,municipio,Alcalá de Ebro
50014,municipio,Alcalá de Moncayo
50015,municipio,Alconchel de Ariza
50016,municipio,Aldehuela de Liestos
50017,municipio,Alfajarín
50018,municipio,Alfamén
50019,municipio,Alforque
50020,municipio,Alhama de Aragón
50021,municipio,Almochuel
50022,municipio,La Almolda
50023,municipio,Almonacid de la Cuba
50024,municipio,Almonacid de la Sierra
50025,municipio,La Almunia de Doña Godina
50026,municipio,Alpartir
50027,municipio,Ambel
50028,municipio,Anento
50029,municipio,Aniñón
50030,municipio,Añón de Moncayo
50031,municipio,Aranda de Moncayo
50032,municipio,Arándiga
50033,municipio,Ardisa
50034,municipio,Ariza
50035,municipio,Artieda
50036,municipio,Asín
50037,municipio,Atea
50038,municipio,Ateca
50039,municipio,Azuara
50040,municipio,Badules
50041,municipio,Bagüés
50042,municipio,Balconchán
50043,municipio,Bárboles
50044,municipio,Bardallur
50045,municipio,Belchite
